"STATION","NAME","DATE","TMAX","TMIN"
"NLE00152495","LEEUWARDEN, NL","2023-01-01","57","47"
"NLE00152495","LEEUWARDEN, NL","2023-01-02","51","40"
"NLE00152495","LEEUWARDEN, NL","2023-01-03","47","34"
"NLE00152495","LEEUWARDEN, NL","2023-01-04","54","47"
"NLE00152495","LEEUWARDEN, NL","2023-01-05","50","47"
"NLE00152495","LEEUWARDEN, NL","2023-01-06","51","42"
"NLE00152495","LEEUWARDEN, NL","2023-01-07","52","47"
"NLE00152495","LEEUWARDEN, NL","2023-01-08","49","43"
"NLE00152495","LEEUWARDEN, NL","2023-01-09","47","39"
"NLE00152495","LEEUWARDEN, NL","2023-01-10","49","40"
"NLE00152495","LEEUWARDEN, NL","2023-01-11","52","45"
"NLE00152495","LEEUWARDEN, NL","2023-01-12","52","46"
"NLE00152495","LEEUWARDEN, NL","2023-01-13","49","44"
"NLE00152495","LEEUWARDEN, NL","2023-01-14","51","41"
"NLE00152495","LEEUWARDEN, NL","2023-01-15","45","38"
"NLE00152495","LEEUWARDEN, NL","2023-01-16","40","36"
"NLE00152495","LEEUWARDEN, NL","2023-01-17","41","30"
"NLE00152495","LEEUWARDEN, NL","2023-01-18","40","29"
"NLE00152495","LEEUWARDEN, NL","2023-01-19","42","29"
"NLE00152495","LEEUWARDEN, NL","2023-01-20","35","27"
"NLE00152495","LEEUWARDEN, NL","2023-01-21","39","26"
"NLE00152495","LEEUWARDEN, NL","2023-01-22","37","29"
"NLE00152495","LEEUWARDEN, NL","2023-01-23","39","35"
"NLE00152495","LEEUWARDEN, NL","2023-01-24","38","32"
"NLE00152495","LEEUWARDEN, NL","2023-01-25","36","31"
"NLE00152495","LEEUWARDEN, NL","2023-01-26","47","35"
"NLE00152495","LEEUWARDEN, NL","2023-01-27","41","35"
"NLE00152495","LEEUWARDEN, NL","2023-01-28","41","30"
"NLE00152495","LEEUWARDEN, NL","2023-01-29","44","39"
"NLE00152495","LEEUWARDEN, NL","2023-01-30","46","39"
"NLE00152495","LEEUWARDEN, NL","2023-01-31","48","38"
"NLE00152495","LEEUWARDEN, NL","2023-02-01","46","42"
"NLE00152495","LEEUWARDEN, NL","2023-02-02","48","41"
"NLE00152495","LEEUWARDEN, NL","2023-02-03","49","43"
"NLE00152495","LEEUWARDEN, NL","2023-02-04","48","35"
"NLE00152495","LEEUWARDEN, NL","2023-02-05","47","36"
"NLE00152495","LEEUWARDEN, NL","2023-02-06","46","28"
"NLE00152495","LEEUWARDEN, NL","2023-02-07","41","27"
"NLE00152495","LEEUWARDEN, NL","2023-02-08","42","27"
"NLE00152495","LEEUWARDEN, NL","2023-02-09","42","29"
"NLE00152495","LEEUWARDEN, NL","2023-02-10","46","31"
"NLE00152495","LEEUWARDEN, NL","2023-02-11","50","35"
"NLE00152495","LEEUWARDEN, NL","2023-02-12","47","35"
"NLE00152495","LEEUWARDEN, NL","2023-02-13","48","31"
